年份,届次,题号,赛题名称,本地文件名,本地相对路径,大小KB,是否华为赛题
2024,第二十一届,?,（赛题包内含题目原文）,数据集6.rar,2024年中国研究生数学建模竞赛赛题\D题附件数据集\数据集6\数据集6.rar,777872,否
2024,第二十一届,A,风电场有功功率优化分配,A题.zip,2024年中国研究生数学建模竞赛赛题\1.2024年中国研究生数学建模竞赛赛题\A题.zip,50482,否
2024,第二十一届,B,WLAN组网中网络吞吐量建模（华为题）,B题.zip,2024年中国研究生数学建模竞赛赛题\1.2024年中国研究生数学建模竞赛赛题\B题.zip,2939,是
2024,第二十一届,C,数据驱动下磁性元件的磁芯损耗建模,C题.zip,2024年中国研究生数学建模竞赛赛题\1.2024年中国研究生数学建模竞赛赛题\C题.zip,109789,否
2024,第二十一届,D,大数据驱动的地理综合问题,D题.zip,2024年中国研究生数学建模竞赛赛题\1.2024年中国研究生数学建模竞赛赛题\D题.zip,122,否
2024,第二十一届,E,高速公路应急车道紧急启用模型,E题.zip,2024年中国研究生数学建模竞赛赛题\1.2024年中国研究生数学建模竞赛赛题\E题.zip,107,否
2024,第二十一届,F,X射线脉冲星光子到达时间建模,F题.zip,2024年中国研究生数学建模竞赛赛题\1.2024年中国研究生数学建模竞赛赛题\F题.zip,53761,否
2025,第二十二届,?,（赛题包内含题目原文）,高速列车轴承智能故障诊断问题.docx,2025年中国研究生数学建模竞赛赛题\中文赛题ABCDEF题\E题\E题\高速列车轴承智能故障诊断问题.docx,321,否
2025,第二十二届,A,通用神经网络处理器下的核内调度问题,A题.7z,2025年中国研究生数学建模竞赛赛题\中文赛题ABCDEF题\A题.7z,2443,否
2025,第二十二届,B,无线通信系统链路速率建模,B题.7z,2025年中国研究生数学建模竞赛赛题\中文赛题ABCDEF题\B题.7z,1942431,否
2025,第二十二届,C,围岩裂隙精准识别与三维模型重构,C题.7z,2025年中国研究生数学建模竞赛赛题\中文赛题ABCDEF题\C题.7z,38426,否
2025,第二十二届,D,低空湍流监测及最优航路规划,D题.7z,2025年中国研究生数学建模竞赛赛题\中文赛题ABCDEF题\D题.7z,975139,否
2025,第二十二届,E,高速列车轴承智能故障诊断问题,E题.7z,2025年中国研究生数学建模竞赛赛题\中文赛题ABCDEF题\E题.7z,311,否
2025,第二十二届,F,江南古典园林的美学特征建模,F题.7z,2025年中国研究生数学建模竞赛赛题\中文赛题ABCDEF题\F题.7z,92798,否
